"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19751","1975Q1","-","All types of construction","Number","4948"
"BHQ03C1","Planning Permissions Granted","19751","1975Q1","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19751","1975Q1","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19751","1975Q1","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19751","1975Q1","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19752","1975Q2","-","All types of construction","Number","6056"
"BHQ03C1","Planning Permissions Granted","19752","1975Q2","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19752","1975Q2","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19752","1975Q2","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19752","1975Q2","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19753","1975Q3","-","All types of construction","Number","6779"
"BHQ03C1","Planning Permissions Granted","19753","1975Q3","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19753","1975Q3","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19753","1975Q3","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19753","1975Q3","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19754","1975Q4","-","All types of construction","Number","5998"
"BHQ03C1","Planning Permissions Granted","19754","1975Q4","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19754","1975Q4","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19754","1975Q4","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19754","1975Q4","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19761","1976Q1","-","All types of construction","Number","5936"
"BHQ03C1","Planning Permissions Granted","19761","1976Q1","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19761","1976Q1","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19761","1976Q1","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19761","1976Q1","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19762","1976Q2","-","All types of construction","Number","7136"
"BHQ03C1","Planning Permissions Granted","19762","1976Q2","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19762","1976Q2","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19762","1976Q2","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19762","1976Q2","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19763","1976Q3","-","All types of construction","Number","7810"
"BHQ03C1","Planning Permissions Granted","19763","1976Q3","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19763","1976Q3","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19763","1976Q3","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19763","1976Q3","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19764","1976Q4","-","All types of construction","Number","5913"
"BHQ03C1","Planning Permissions Granted","19764","1976Q4","11","Dwellings","Number",""
"BHQ03C1","Planning Permissions Granted","19764","1976Q4","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19764","1976Q4","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19764","1976Q4","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19771","1977Q1","-","All types of construction","Number","5901"
"BHQ03C1","Planning Permissions Granted","19771","1977Q1","11","Dwellings","Number","2802"
"BHQ03C1","Planning Permissions Granted","19771","1977Q1","12","Other new construction (excluding dwellings)","Number","697"
"BHQ03C1","Planning Permissions Granted","19771","1977Q1","2","Extensions","Number","1850"
"BHQ03C1","Planning Permissions Granted","19771","1977Q1","3","Alteration, conversion and renovation","Number","552"
"BHQ03C1","Planning Permissions Granted","19772","1977Q2","-","All types of construction","Number","6458"
"BHQ03C1","Planning Permissions Granted","19772","1977Q2","11","Dwellings","Number","3059"
"BHQ03C1","Planning Permissions Granted","19772","1977Q2","12","Other new construction (excluding dwellings)","Number","636"
"BHQ03C1","Planning Permissions Granted","19772","1977Q2","2","Extensions","Number","2205"
"BHQ03C1","Planning Permissions Granted","19772","1977Q2","3","Alteration, conversion and renovation","Number","558"
"BHQ03C1","Planning Permissions Granted","19773","1977Q3","-","All types of construction","Number","8322"
"BHQ03C1","Planning Permissions Granted","19773","1977Q3","11","Dwellings","Number","3718"
"BHQ03C1","Planning Permissions Granted","19773","1977Q3","12","Other new construction (excluding dwellings)","Number","904"
"BHQ03C1","Planning Permissions Granted","19773","1977Q3","2","Extensions","Number","3001"
"BHQ03C1","Planning Permissions Granted","19773","1977Q3","3","Alteration, conversion and renovation","Number","699"
"BHQ03C1","Planning Permissions Granted","19774","1977Q4","-","All types of construction","Number","6237"
"BHQ03C1","Planning Permissions Granted","19774","1977Q4","11","Dwellings","Number","2860"
"BHQ03C1","Planning Permissions Granted","19774","1977Q4","12","Other new construction (excluding dwellings)","Number","800"
"BHQ03C1","Planning Permissions Granted","19774","1977Q4","2","Extensions","Number","2015"
"BHQ03C1","Planning Permissions Granted","19774","1977Q4","3","Alteration, conversion and renovation","Number","562"
"BHQ03C1","Planning Permissions Granted","19781","1978Q1","-","All types of construction","Number","6047"
"BHQ03C1","Planning Permissions Granted","19781","1978Q1","11","Dwellings","Number","3017"
"BHQ03C1","Planning Permissions Granted","19781","1978Q1","12","Other new construction (excluding dwellings)","Number","770"
"BHQ03C1","Planning Permissions Granted","19781","1978Q1","2","Extensions","Number","1705"
"BHQ03C1","Planning Permissions Granted","19781","1978Q1","3","Alteration, conversion and renovation","Number","555"
"BHQ03C1","Planning Permissions Granted","19782","1978Q2","-","All types of construction","Number","7250"
"BHQ03C1","Planning Permissions Granted","19782","1978Q2","11","Dwellings","Number","3563"
"BHQ03C1","Planning Permissions Granted","19782","1978Q2","12","Other new construction (excluding dwellings)","Number","897"
"BHQ03C1","Planning Permissions Granted","19782","1978Q2","2","Extensions","Number","2160"
"BHQ03C1","Planning Permissions Granted","19782","1978Q2","3","Alteration, conversion and renovation","Number","630"
"BHQ03C1","Planning Permissions Granted","19783","1978Q3","-","All types of construction","Number","9294"
"BHQ03C1","Planning Permissions Granted","19783","1978Q3","11","Dwellings","Number","4339"
"BHQ03C1","Planning Permissions Granted","19783","1978Q3","12","Other new construction (excluding dwellings)","Number","1161"
"BHQ03C1","Planning Permissions Granted","19783","1978Q3","2","Extensions","Number","2936"
"BHQ03C1","Planning Permissions Granted","19783","1978Q3","3","Alteration, conversion and renovation","Number","858"
"BHQ03C1","Planning Permissions Granted","19784","1978Q4","-","All types of construction","Number","6814"
"BHQ03C1","Planning Permissions Granted","19784","1978Q4","11","Dwellings","Number","3012"
"BHQ03C1","Planning Permissions Granted","19784","1978Q4","12","Other new construction (excluding dwellings)","Number","914"
"BHQ03C1","Planning Permissions Granted","19784","1978Q4","2","Extensions","Number","2147"
"BHQ03C1","Planning Permissions Granted","19784","1978Q4","3","Alteration, conversion and renovation","Number","741"
"BHQ03C1","Planning Permissions Granted","19791","1979Q1","-","All types of construction","Number","6784"
"BHQ03C1","Planning Permissions Granted","19791","1979Q1","11","Dwellings","Number","3202"
