"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Employment","2008Q1","Construction (F)","All employees","Number","146700"
"Employment","2008Q1","Construction (F)","Managers, professionals and associated professionals","Number","24200"
"Employment","2008Q1","Construction (F)","Clerical, sales and service employees","Number","16500"
"Employment","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Number","106100"
"Employment","2008Q2","Construction (F)","All employees","Number","144100"
"Employment","2008Q2","Construction (F)","Managers, professionals and associated professionals","Number","25100"
"Employment","2008Q2","Construction (F)","Clerical, sales and service employees","Number","15500"
"Employment","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Number","103500"
"Employment","2008Q3","Construction (F)","All employees","Number","135100"
"Employment","2008Q3","Construction (F)","Managers, professionals and associated professionals","Number","24200"
"Employment","2008Q3","Construction (F)","Clerical, sales and service employees","Number","16000"
"Employment","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Number","95000"
"Employment","2008Q4","Construction (F)","All employees","Number","127700"
"Employment","2008Q4","Construction (F)","Managers, professionals and associated professionals","Number","25700"
"Employment","2008Q4","Construction (F)","Clerical, sales and service employees","Number","17000"
"Employment","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Number","85000"
"Employment","2009Q1","Construction (F)","All employees","Number","113600"
"Employment","2009Q1","Construction (F)","Managers, professionals and associated professionals","Number","23100"
"Employment","2009Q1","Construction (F)","Clerical, sales and service employees","Number","16100"
"Employment","2009Q1","Construction (F)","Production, transport, craft and other manual workers","Number","71600"
"Employment","2009Q2","Construction (F)","All employees","Number","94800"
"Employment","2009Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2009Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2009Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2009Q3","Construction (F)","All employees","Number","90500"
"Employment","2009Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2009Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2009Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2009Q4","Construction (F)","All employees","Number","79800"
"Employment","2009Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2009Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2009Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2010Q1","Construction (F)","All employees","Number","74300"
"Employment","2010Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2010Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2010Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2010Q2","Construction (F)","All employees","Number","70300"
"Employment","2010Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2010Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2010Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2010Q3","Construction (F)","All employees","Number","65300"
"Employment","2010Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2010Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2010Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2010Q4","Construction (F)","All employees","Number","60400"
"Employment","2010Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2010Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2010Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2011Q1","Construction (F)","All employees","Number","61400"
"Employment","2011Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2011Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2011Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2011Q2","Construction (F)","All employees","Number","61400"
"Employment","2011Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2011Q2","Construction (F)","Clerical, sales and service employees","Number",""
