"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201403","2014 March","01","Carlow (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","01","Carlow (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","01","Carlow (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","02","Cavan (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201403","2014 March","02","Cavan (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201403","2014 March","02","Cavan (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201403","2014 March","03","Clare (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","03","Clare (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","03","Clare (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","04","Cork (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","04","Cork (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","04","Cork (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","05","Donegal (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","05","Donegal (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","05","Donegal (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","06","Fingal (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","06","Fingal (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","06","Fingal (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","07","Galway (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","07","Galway (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","07","Galway (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","08","Kerry (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","08","Kerry (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","08","Kerry (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","09","Kildare (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","09","Kildare (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","09","Kildare (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","10","Kilkenny (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","11","Laois (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","11","Laois (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","11","Laois (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","12","Leitrim (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","12","Leitrim (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","12","Leitrim (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","14","Longford (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","14","Longford (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","14","Longford (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","15","Louth (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","15","Louth (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","15","Louth (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","16","Mayo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","16","Mayo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","16","Mayo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","17","Meath (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","17","Meath (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","17","Meath (County Council)","05","Number of one-off residential units","Number","0"
