"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2012","Hacketstown, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Rathvilly, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Borris, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Leighlinbridge, Co Carlow","Number","1"
"Number of New Dwelling Completions","2012","Muinebeag (Bagenalstown), Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Tullow, Co Carlow","Number","3"
"Number of New Dwelling Completions","2012","Tinriland, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Ballon, Co Carlow","Number","1"
"Number of New Dwelling Completions","2012","Kernanstown, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Kildavin, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Myshall, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Palatine, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Rathtoe, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Ballinabrannagh, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Fennagh, Co Carlow","Number","0"
"Number of New Dwelling Completions","2012","Brittas, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Newcastle, Co Dublin","Number","1"
"Number of New Dwelling Completions","2012","Rathcoole, Co Dublin","Number","4"
"Number of New Dwelling Completions","2012","Saggart, Co Dublin","Number","17"
"Number of New Dwelling Completions","2012","Balbriggan, Co Dublin","Number","5"
"Number of New Dwelling Completions","2012","Ballyboghil, Co Dublin","Number","1"
"Number of New Dwelling Completions","2012","Donabate, Co Dublin","Number","9"
"Number of New Dwelling Completions","2012","Garristown, Co Dublin","Number","1"
"Number of New Dwelling Completions","2012","Loughshinny, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Lusk, Co Dublin","Number","3"
"Number of New Dwelling Completions","2012","Malahide, Co Dublin","Number","8"
"Number of New Dwelling Completions","2012","Portmarnock, Co Dublin","Number","3"
"Number of New Dwelling Completions","2012","Portrane, Co Dublin","Number","1"
"Number of New Dwelling Completions","2012","Rivermeade, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Rush, Co Dublin","Number","4"
"Number of New Dwelling Completions","2012","Skerries, Co Dublin","Number","7"
"Number of New Dwelling Completions","2012","Swords, Co Dublin","Number","29"
"Number of New Dwelling Completions","2012","Kinsealy-Drinan, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Oldtown, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Naul, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Balrothery, Co Dublin","Number","1"
"Number of New Dwelling Completions","2012","Kinsaley, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Glencullen, Co Dublin","Number","0"
"Number of New Dwelling Completions","2012","Athy, Co Kildare","Number","11"
"Number of New Dwelling Completions","2012","Ballitore, Co Kildare","Number","3"
"Number of New Dwelling Completions","2012","Castledermot, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kilberry, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Monasterevan, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Ballyoulster, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Celbridge, Co Kildare","Number","8"
"Number of New Dwelling Completions","2012","Clane, Co Kildare","Number","2"
"Number of New Dwelling Completions","2012","Kilcock, Co Kildare","Number","1"
"Number of New Dwelling Completions","2012","Leixlip, Co Kildare","Number","4"
"Number of New Dwelling Completions","2012","Maynooth, Co Kildare","Number","29"
"Number of New Dwelling Completions","2012","Straffan, Co Kildare","Number","2"
"Number of New Dwelling Completions","2012","Derrinturn, Co Kildare","Number","3"
"Number of New Dwelling Completions","2012","Rathangan, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Naas, Co Kildare","Number","7"
"Number of New Dwelling Completions","2012","Ballymore Eustace, Co Kildare","Number","4"
"Number of New Dwelling Completions","2012","Brownstown, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Coill Dubh (Blackwood), Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Droichead Nua (Newbridge), Co Kildare","Number","4"
"Number of New Dwelling Completions","2012","Kilcullen, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kildare, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kill, Co Kildare","Number","4"
"Number of New Dwelling Completions","2012","Maddenstown, Co Kildare","Number","1"
"Number of New Dwelling Completions","2012","Prosperous, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Robertstown, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Sallins, Co Kildare","Number","5"
"Number of New Dwelling Completions","2012","Suncroft, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Milltown, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kilmeage, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Allenwood, Co Kildare","Number","6"
"Number of New Dwelling Completions","2012","Grangemore, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Nurney, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Ballyroe, Co Kildare","Number","1"
"Number of New Dwelling Completions","2012","Carragh, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Ladytown, Co Kildare","Number","2"
"Number of New Dwelling Completions","2012","Johnstownbridge, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Ballysax, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Calverstown, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kilmead, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Johnstown, Co Kildare","Number","0"
"Number of New Dwelling Completions","2012","Kilteel, Co Kildare","Number","0"
