"Statistic Label","Year","Product","UNIT","VALUE"
"Prodcom Sales 2021","2021","16231200: Shuttering for concrete constructional work, shingles and shakes, of wood (kg)","Euro Thousand","-99999999"
"Prodcom Sales 2021","2021","23201210: Refractory ceramic constructional goods containing 50 % of MgO, CaO or Cr2O3 including bricks, bloc.. (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","23201233: Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, by .. (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","23201235: Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, by .. (kg)","Euro Thousand","-99999999"
"Prodcom Sales 2021","2021","23321270: Non-refractory clay constructional products (including chimneypots, cowls, chimney liners and flue-b.. (kg)","Euro Thousand","-99999999"
"Prodcom Sales 2021","2021","23691980: Articles of cement, concrete or artificial stone for non-constructional purposes (including vases, f.. (kg)","Euro Thousand","7625"
"Prodcom Sales 2021","2021","24511310: Grey iron castings for land vehicles (excluding for locomotives or rolling stock, construction indus.. (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","24521010: Steel castings for land vehicles excluding for locomotives or rolling stock, construction industry v.. (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","24531010: Light metal castings for land vehicles excluding for locomotives or rolling stock, construction indu.. (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","25941115: Screws and bolts for fixing railway truck construction material, iron or steel (kg)","Euro Thousand","0"
"Prodcom Sales 2021","2021","28411250: Unit construction machines (single station) for working metal (p/st)","Euro Thousand","0"
"Prodcom Sales 2021","2021","30119100: Conversion and reconstruction of ships, floating platforms and structures (-)","Euro Thousand","0"
"Prodcom Sales 2021","2021","32402000: Toy trains and their accessories; other reduced-size models or construction sets and constructional .. (-)","Euro Thousand","-99999999"
"Prodcom Sales 2021","2021","32505010: Dental cements and other dental fillings; bone reconstruction cements (-)","Euro Thousand","-99999999"
"Prodcom Sales 2021","2021","33122400: Repair and maintenance of machinery for mining, quarrying and construction (-)","Euro Thousand","7646"
"Prodcom Sales 2021","2021","33203400: Installation of machinery for mining, quarrying and construction (-)","Euro Thousand","-99999999"
"Prodcom Sales 2021 (Volume)","2021","16231200: Shuttering for concrete constructional work, shingles and shakes, of wood (kg)","Volume","-99999999"
"Prodcom Sales 2021 (Volume)","2021","23201210: Refractory ceramic constructional goods containing 50 % of MgO, CaO or Cr2O3 including bricks, bloc.. (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","23201233: Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, by .. (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","23201235: Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, by .. (kg)","Volume","-99999999"
"Prodcom Sales 2021 (Volume)","2021","23321270: Non-refractory clay constructional products (including chimneypots, cowls, chimney liners and flue-b.. (kg)","Volume","-99999999"
"Prodcom Sales 2021 (Volume)","2021","23691980: Articles of cement, concrete or artificial stone for non-constructional purposes (including vases, f.. (kg)","Volume","42495446"
"Prodcom Sales 2021 (Volume)","2021","24511310: Grey iron castings for land vehicles (excluding for locomotives or rolling stock, construction indus.. (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","24521010: Steel castings for land vehicles excluding for locomotives or rolling stock, construction industry v.. (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","24531010: Light metal castings for land vehicles excluding for locomotives or rolling stock, construction indu.. (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","25941115: Screws and bolts for fixing railway truck construction material, iron or steel (kg)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","28411250: Unit construction machines (single station) for working metal (p/st)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","30119100: Conversion and reconstruction of ships, floating platforms and structures (-)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","32402000: Toy trains and their accessories; other reduced-size models or construction sets and constructional .. (-)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","32505010: Dental cements and other dental fillings; bone reconstruction cements (-)","Volume","-99999999"
"Prodcom Sales 2021 (Volume)","2021","33122400: Repair and maintenance of machinery for mining, quarrying and construction (-)","Volume","0"
"Prodcom Sales 2021 (Volume)","2021","33203400: Installation of machinery for mining, quarrying and construction (-)","Volume","0"
