indic_bt,nace_r2,unit,geo\time	2022M04 	2022M05 	2022M06 	2022M07 	2022M08 	2022M09 	2022M10 	2022M11 	2022M12 	2023M01 	2023M02 	2023M03 
PROD,F,I2015_SCA,AT	133.9 	133.4 	130.4 	128.8 	130.2 	129.3 	130.2 	132.8 	128.8 	133.7 	151.5 p	: 
PROD,F,I2015_SCA,BE	98.8 	99.4 	98.7 	100.5 	99.2 	98.2 	98.4 	100.0 	99.5 	98.1 	101.0 	: 
PROD,F,I2015_SCA,BG	89.9 	91.8 	90.4 	89.9 	90.2 	90.0 	90.6 	90.9 	89.4 	89.8 	89.2 p	: 
PROD,F,I2015_SCA,CZ	112.5 	109.8 	109.4 	105.9 	107.5 	105.7 	108.6 	108.6 	108.4 	113.9 	109.7 	: 
PROD,F,I2015_SCA,DE	112.7 	113.8 	113.1 	112.1 	110.7 	110.8 	113.3 	111.3 	102.9 	116.9 	118.6 	: 
PROD,F,I2015_SCA,DK	134.7 s	133.7 s	131.7 s	132.4 s	132.7 s	133.6 s	133.4 s	133.3 s	133.7 s	128.2 s	128.1 s	: 
PROD,F,I2015_SCA,EA19	113.3 	113.3 	112.2 	111.5 	110.8 	111.4 	112.4 	112.7 	110.0 	114.1 	116.8 s	: 
PROD,F,I2015_SCA,EA20	113.4 	113.4 	112.4 	111.6 	111.0 	111.6 	112.6 	112.9 	110.1 	114.3 	116.9 s	: 
PROD,F,I2015_SCA,ES	80.3 p	78.9 p	78.5 p	79.0 p	78.8 p	77.5 p	77.3 p	77.2 p	77.1 p	77.8 p	78.9 p	: 
PROD,F,I2015_SCA,EU27_2020	115.3 	115.7 	114.4 	113.8 	113.2 	113.7 	114.9 	115.3 	112.8 	116.5 	118.8 s	: 
PROD,F,I2015_SCA,FI	121.9 e	121.2 e	120.7 e	119.9 e	119.9 e	119.7 e	118.4 e	117.6 e	118.6 e	119.1 e	118.5 e	: 
PROD,F,I2015_SCA,FR	104.4 	104.3 	102.9 	102.9 	101.1 	103.6 	104.7 	104.8 	103.2 	103.5 	105.3 	104.3 
PROD,F,I2015_SCA,HR	140.9 	141.0 	141.3 	141.0 	142.0 	142.5 	143.2 	145.0 	148.0 	144.9 p	145.7 p	: 
PROD,F,I2015_SCA,HU	151.8 	163.9 	152.4 	163.0 	152.6 	157.0 	153.3 	168.6 	162.3 	154.1 	157.0 	: 
PROD,F,I2015_SCA,IT	139.6 	138.3 	135.7 	131.2 	134.6 	134.7 	133.6 	137.3 	137.9 	137.5 	139.6 	: 
PROD,F,I2015_SCA,LU	106.2 	106.2 	106.3 	108.1 	105.2 	108.0 p	106.1 p	109.0 p	107.1 p	98.3 p	111.3 p	: 
PROD,F,I2015_SCA,MK	62.7 	61.7 	65.9 	51.1 	57.1 	58.9 	55.3 	55.5 	62.3 	81.3 	81.9 	: 
PROD,F,I2015_SCA,NL	134.0 p	134.6 p	135.7 p	137.2 p	133.6 p	135.9 p	138.5 p	139.7 p	140.7 p	139.1 p	144.0 p	: 
PROD,F,I2015_SCA,NO	123.5 	124.4 	124.4 	120.5 	124.2 	124.4 	124.0 	123.6 	124.0 	124.0 	123.7 	123.3 
PROD,F,I2015_SCA,PL	128.5 	131.4 	127.4 	127.2 	128.4 	120.9 	128.5 	131.5 	127.4 	136.0 	136.2 	133.4 
PROD,F,I2015_SCA,PT	106.1 	106.1 	105.2 	106.7 	108.9 	105.8 	105.2 	105.0 	104.2 	109.7 	109.1 	: 
PROD,F,I2015_SCA,RO	134.0 	141.5 	141.3 	141.8 	144.7 	150.4 	158.3 	155.6 	155.2 p	149.9 	154.5 p	: 
PROD,F,I2015_SCA,SE	122.6 p	124.8 p	123.4 p	122.6 p	122.3 p	124.9 p	124.1 p	123.7 p	124.6 p	125.4 p	123.4 p	: 
PROD,F,I2015_SCA,SI	150.4 	157.4 	160.5 	153.5 	154.4 	153.6 p	169.3 p	162.6 p	175.4 p	191.3 p	193.3 p	: 
PROD,F,I2015_SCA,SK	83.5 	83.9 	81.3 	82.7 	82.3 	82.7 	83.4 	82.3 	89.2 	92.1 	91.4 	: 
PROD,F,PCH_M12_CA,AT	5.0 	5.2 	2.2 	2.0 	3.7 	1.5 	3.4 	4.8 	0.3 	4.0 	17.0 p	: 
PROD,F,PCH_M12_CA,BE	3.3 	3.3 	0.0 	3.8 	4.0 	-1.6 	-1.4 	13.2 	3.1 	-4.6 	2.1 	: 
PROD,F,PCH_M12_CA,BG	-2.2 	6.3 	-0.2 	-0.9 	0.0 	-1.4 	1.7 	1.3 	-4.0 	-0.3 	-2.9 p	: 
PROD,F,PCH_M12_CA,CZ	7.5 	3.0 	1.9 	-0.7 	0.8 	-2.6 	2.2 	-0.1 	-2.6 	5.4 	-4.3 	: 
PROD,F,PCH_M12_CA,DE	-3.3 	-2.8 	-2.0 	-2.5 	-2.0 	-3.0 	-0.9 	-2.4 	-7.9 	-0.5 	1.6 	: 
PROD,F,PCH_M12_CA,DK	9.0 	7.3 	2.3 	4.5 	6.6 	4.9 	4.0 	3.6 	4.0 	-5.2 	-5.8 	: 
PROD,F,PCH_M12_CA,EA19	3.6 	2.9 	1.6 	1.1 	1.5 	0.2 	0.7 	1.3 	-0.6 	0.5 	2.3 s	: 
PROD,F,PCH_M12_CA,EA20	3.5 	2.9 	1.6 	1.2 	1.5 	0.2 	0.7 	1.4 	-0.6 	0.5 	2.3 s	: 
PROD,F,PCH_M12_CA,ES	-4.8 p	-9.5 p	-11.7 p	-5.9 p	-4.6 p	-11.3 p	-9.1 p	-7.3 p	-6.7 p	0.8 p	1.1 p	: 
PROD,F,PCH_M12_CA,EU27_2020	3.6 	3.5 	1.6 	1.4 	2.0 	0.7 	1.2 	1.8 	-0.2 	0.5 	2.1 s	: 
PROD,F,PCH_M12_CA,FI	5.1 e	2.2 e	2.3 e	1.7 e	1.7 e	0.2 e	-2.7 e	-5.9 e	-1.4 e	-1.4 e	-3.3 e	: 
PROD,F,PCH_M12_CA,FR	4.1 	2.7 	2.4 	1.2 	3.9 	1.2 	0.3 	1.9 	4.7 	-1.3 	1.1 	0.1 
PROD,F,PCH_M12_CA,HR	4.5 	4.6 	4.1 	4.0 	4.3 	3.9 	4.2 	5.8 	8.7 	3.8 p	4.1 p	: 
PROD,F,PCH_M12_CA,HU	1.8 	8.3 	-8.6 	2.7 	-0.7 	1.4 	-3.2 	7.6 	-3.9 	-3.6 	-11.8 	: 
PROD,F,PCH_M12_CA,IT	20.6 	18.2 	11.8 	7.0 	8.8 	7.5 	4.3 	5.8 	4.8 	3.2 	1.6 	: 
PROD,F,PCH_M12_CA,LU	-2.0 	-2.8 	-1.8 	0.9 	0.2 	0.5 p	-1.8 p	1.2 p	15.8 p	-11.9 p	0.6 p	: 
PROD,F,PCH_M12_CA,MK	-0.7 	-7.3 	4.4 	-12.9 	-16.1 	-26.4 	-23.9 	-10.7 	-7.9 	50.7 	8.7 	: 
PROD,F,PCH_M12_CA,NL	2.0 p	3.5 p	4.6 p	7.2 p	1.7 p	4.0 p	6.9 p	5.9 p	6.9 p	3.4 p	4.5 p	: 
PROD,F,PCH_M12_CA,NO	5.6 	7.0 	6.3 	1.9 	5.3 	4.8 	2.5 	2.2 	1.5 	1.2 	0.3 	-0.3 
PROD,F,PCH_M12_CA,PL	11.3 	10.7 	6.0 	6.3 	6.1 	0.2 	3.9 	4.0 	3.4 	-0.1 	6.6 	-1.5 
PROD,F,PCH_M12_CA,PT	1.2 	1.5 	2.2 	2.2 	2.0 	0.7 	1.7 	1.3 	1.6 	5.9 	2.6 	: 
PROD,F,PCH_M12_CA,RO	-7.4 	7.6 	6.2 	10.2 	14.4 	25.9 	33.8 	19.7 	18.4 p	7.2 	10.4 p	: 
PROD,F,PCH_M12_CA,SE	-0.3 p	4.2 p	-1.4 p	-3.4 p	2.1 p	1.8 p	0.1 p	-0.1 p	-1.4 p	2.3 p	-0.7 p	: 
PROD,F,PCH_M12_CA,SI	10.8 	22.6 	19.6 	17.3 	16.5 	10.9 p	38.7 p	26.2 p	45.7 p	25.5 p	17.5 p	: 
PROD,F,PCH_M12_CA,SK	-2.5 	-0.1 	-2.6 	0.7 	-2.0 	0.4 	-0.4 	-5.8 	4.9 	14.9 	9.1 	: 
PROD,F,PCH_M1_SCA,AT	-0.4 	-0.4 	-2.2 	-1.2 	1.1 	-0.7 	0.7 	2.0 	-3.0 	3.8 	13.3 p	: 
PROD,F,PCH_M1_SCA,BE	-0.9 	0.6 	-0.7 	1.8 	-1.3 	-1.0 	0.2 	1.6 	-0.5 	-1.4 	3.0 	: 
PROD,F,PCH_M1_SCA,BG	-0.7 	2.1 	-1.5 	-0.6 	0.3 	-0.2 	0.7 	0.3 	-1.7 	0.4 	-0.7 p	: 
PROD,F,PCH_M1_SCA,CZ	-2.0 	-2.4 	-0.4 	-3.2 	1.5 	-1.7 	2.7 	0.0 	-0.2 	5.1 	-3.7 	: 
PROD,F,PCH_M1_SCA,DE	-3.0 	1.0 	-0.6 	-0.9 	-1.2 	0.1 	2.3 	-1.8 	-7.5 	13.6 	1.5 	: 
PROD,F,PCH_M1_SCA,DK	2.2 s	-0.7 s	-1.5 s	0.5 s	0.2 s	0.7 s	-0.1 s	-0.1 s	0.3 s	-4.1 s	-0.1 s	: 
PROD,F,PCH_M1_SCA,EA19	-1.5 	0.0 	-1.0 	-0.6 	-0.6 	0.5 	0.9 	0.3 	-2.4 	3.7 	2.4 s	: 
PROD,F,PCH_M1_SCA,EA20	-1.5 	0.0 	-0.9 	-0.7 	-0.5 	0.5 	0.9 	0.3 	-2.5 	3.8 	2.3 s	: 
PROD,F,PCH_M1_SCA,ES	-0.2 p	-1.7 p	-0.5 p	0.6 p	-0.3 p	-1.6 p	-0.3 p	-0.1 p	-0.1 p	0.9 p	1.4 p	: 
PROD,F,PCH_M1_SCA,EU27_2020	-1.6 	0.3 	-1.1 	-0.5 	-0.5 	0.4 	1.1 	0.3 	-2.2 	3.3 	2.0 s	: 
PROD,F,PCH_M1_SCA,FI	0.2 e	-0.6 e	-0.4 e	-0.7 e	0.0 e	-0.2 e	-1.1 e	-0.7 e	0.9 e	0.4 e	-0.5 e	: 
PROD,F,PCH_M1_SCA,FR	0.1 	-0.1 	-1.3 	0.0 	-1.7 	2.5 	1.1 	0.1 	-1.5 	0.3 	1.7 	-0.9 
PROD,F,PCH_M1_SCA,HR	0.4 	0.1 	0.2 	-0.2 	0.7 	0.4 	0.5 	1.3 	2.1 	-2.1 p	0.6 p	: 
